# Noisy Sine Wave
# Generated in MATLAB R2014b

"Time","Amplitude"
1.24,5.294
1.25,5.4561
1.26,5.0267
1.27,4.9697
1.28,4.9642
1.29,5.161
1.3,4.7726
1.31,4.5785
1.32,4.365
1.33,4.3177
1.34,4.1204
1.35,3.797
1.36,3.7327
1.37,3.3307
1.38,3.3491
1.39,2.7921
1.4,2.807
1.41,2.6392
1.42,2.077
1.43,1.8906
1.44,1.652
1.45,1.0933
1.46,1.0019
1.47,0.76306
1.48,0.23894
1.49,0.23273
1.5,-0.013629
1.51,-0.38738
1.52,-0.86577
1.53,-1.2831
1.54,-1.3474
1.55,-1.8936
1.56,-1.8169
1.57,-2.2598
1.58,-2.534
1.59,-3.0009
1.6,-3.2829
1.61,-3.4282
1.62,-3.3402
1.63,-3.5128
1.64,-3.8017
1.65,-3.9557
1.66,-4.3531
1.67,-4.3121
1.68,-4.3088
1.69,-4.6075
1.7,-4.3916
1.71,-4.8979
1.72,-4.82
1.73,-4.7426
1.74,-4.9662
1.75,-4.6122
1.76,-4.6556
1.77,-4.6085
1.78,-4.3784
1.79,-4.2652
1.8,-4.1828
1.81,-4.283
1.82,-4.0629
1.83,-3.7431
1.84,-3.8782
1.85,-3.6766
1.86,-3.3802
1.87,-3.0226
1.88,-2.5554
1.89,-2.4314
1.9,-2.3645
1.91,-2.0986
1.92,-1.5341
1.93,-1.2108
1.94,-1.0477
1.95,-0.93494
1.96,-0.70942
1.97,-0.022773
1.98,0.16405
1.99,0.65985
2,0.52968
2.01,1.1029
2.02,1.2613
2.03,1.8364
2.04,1.8162
2.05,2.2334
2.06,2.4922
2.07,2.9832
2.08,3.1726
2.09,3.191
2.1,3.4871
2.11,3.6227
2.12,4.1052
2.13,4.2538
2.14,4.2364
2.15,4.3921
2.16,4.7061
2.17,5.0542
2.18,4.9902
2.19,4.8259
2.2,4.9127
2.21,5.3454
2.22,5.2061
2.23,5.1897
2.24,5.3914
2.25,5.1572
2.26,5.2
2.27,5.2291
2.28,5.2291
2.29,4.8589
2.3,4.9023
2.31,4.9293
2.32,4.327
2.33,4.4127
2.34,4.14
2.35,3.886
2.36,3.6471
2.37,3.6643
2.38,3.5394
2.39,2.8799
2.4,2.911
2.41,2.3422
2.42,2.4555
2.43,2.0677
2.44,1.5794
2.45,1.4271
2.46,1.0029
2.47,0.8464
2.48,0.30656
2.49,-0.14918
2.5,-0.20367
2.51,-0.35547
2.52,-1.0219
2.53,-1.2064
2.54,-1.3461
2.55,-1.9925
2.56,-1.8224
2.57,-2.1881
2.58,-2.5547
2.59,-2.9953
2.6,-3.0791
2.61,-3.2969
2.62,-3.2724
2.63,-3.5409
2.64,-3.6703
2.65,-3.9788
2.66,-4.2663
2.67,-4.1326
2.68,-4.4743
2.69,-4.6935
2.7,-4.6876
2.71,-4.5903
2.72,-4.7012
2.73,-4.62
2.74,-4.4988
2.75,-4.4938
2.76,-4.6663
2.77,-4.3913
2.78,-4.7356
2.79,-4.6689
2.8,-4.4251
2.81,-4.1518
2.82,-4.0235
2.83,-3.6686
2.84,-3.6628
2.85,-3.5155
2.86,-3.2438
2.87,-2.9287
2.88,-3.0334
2.89,-2.3861
2.9,-2.4492
2.91,-2.0051
2.92,-1.8309
2.93,-1.4821
2.94,-1.0364
2.95,-0.97783
2.96,-0.61436
2.97,-0.34279
2.98,-0.030769
2.99,0.34922
3,0.93934
3.01,1.0461
3.02,1.3208
3.03,1.5122
3.04,2.2052
3.05,2.2158
3.06,2.7178
3.07,2.8776
3.08,3.0225
3.09,3.5258
3.1,3.7205
3.11,3.7883
3.12,4.1765
3.13,4.4176
3.14,4.3661
3.15,4.4854
3.16,4.7663
3.17,5.0511
3.18,5.0651
3.19,4.9981
3.2,5.2533
3.21,5.4199
3.22,5.2518
3.23,5.2684
3.24,5.1521
3.25,5.0106
3.26,5.0249
3.27,4.9197
3.28,5.0251
3.29,4.6992
3.3,5.0348
3.31,4.7633
3.32,4.2897
3.33,4.1344
3.34,4.0373
3.35,3.959
3.36,3.5788
3.37,3.2893
3.38,3.4053
3.39,2.9636
3.4,2.9106
3.41,2.4626
3.42,2.1776
3.43,1.6912
3.44,1.3921
3.45,1.1082
3.46,1.0508
3.47,0.56244
3.48,0.54899
3.49,0.24281
3.5,-0.017361
3.51,-0.56612
3.52,-1.0086
3.53,-1.3094
3.54,-1.4523
3.55,-1.631
3.56,-2.1218
3.57,-2.3393
3.58,-2.5145
3.59,-2.6285
3.6,-3.2473
3.61,-3.198
3.62,-3.4806
3.63,-3.7517
3.64,-3.7094
3.65,-4.1218
3.66,-4.3785
3.67,-4.2835
3.68,-4.4021
3.69,-4.6454
3.7,-4.4843
3.71,-4.4431
3.72,-4.4899
3.73,-4.9348
3.74,-4.8804
3.75,-4.9632
3.76,-4.6301
3.77,-4.8178
3.78,-4.5896
3.79,-4.2525
3.8,-4.3032
3.81,-4.2574
3.82,-4.1848
3.83,-3.8987
3.84,-3.455
3.85,-3.6695
3.86,-3.2798
3.87,-2.8565
3.88,-3.0201
3.89,-2.4408
3.9,-2.0309
3.91,-2.1027
3.92,-1.8924
3.93,-1.324
3.94,-0.91259
3.95,-0.7572
3.96,-0.30376
3.97,-0.34518
3.98,0.24891
3.99,0.35893
4,0.70848
4.01,0.88843
4.02,1.5283
4.03,1.735
4.04,2.09
4.05,2.4147
4.06,2.3292
4.07,3.0453
4.08,3.0829
4.09,3.4648
4.1,3.6993
4.11,3.9714
4.12,3.8478
4.13,4.197
4.14,4.4606
4.15,4.7844
4.16,4.8856
4.17,5.0478
4.18,5.0053
4.19,5.1008
4.2,5.3132
4.21,4.9603
4.22,5.4231
4.23,5.2022
4.24,5.0147
4.25,5.3481
4.26,5.0113
4.27,4.9452
4.28,5.0963
4.29,4.8218
4.3,4.7394
4.31,4.6428
4.32,4.4922
4.33,4.3123
4.34,4.238
4.35,3.8149
4.36,3.6092
4.37,3.3322
4.38,3.2034
4.39,3.1714
4.4,2.6375
4.41,2.6145
4.42,2.3057
4.43,2.0786
4.44,1.7813
4.45,1.2093
4.46,0.90844
4.47,0.70342
4.48,0.29095
4.49,0.23012
4.5,-0.09402
4.51,-0.53207
4.52,-0.98728
4.53,-1.0823
4.54,-1.6039
4.55,-1.7839
4.56,-2.1033
4.57,-2.3006
4.58,-2.3383
4.59,-2.7096
4.6,-2.8379
4.61,-3.4384
4.62,-3.5052
4.63,-3.9426
4.64,-3.7731
4.65,-4.0173
4.66,-4.0394
4.67,-4.106
4.68,-4.2493
4.69,-4.6047
4.7,-4.8856
4.71,-4.6724
4.72,-4.8766
4.73,-4.8887
4.74,-4.8336
4.75,-4.927
4.76,-4.5601
4.77,-4.499
4.78,-4.5217
4.79,-4.5255
4.8,-4.1611
4.81,-4.1656
4.82,-3.8102
4.83,-3.6728
4.84,-3.7548
4.85,-3.4583
4.86,-3.3418
4.87,-2.9735
4.88,-2.6434
4.89,-2.4136
4.9,-2.4576
4.91,-1.8331
4.92,-1.9467
4.93,-1.4594
4.94,-1.0016
4.95,-0.67194
4.96,-0.57011
4.97,-0.069467
4.98,0.31783
4.99,0.3071
5,0.56397
